rom,game,year,company,genre,platform
sfw,Street Fighter (World) (protected),1987,Capcom,Fighting,Arcade Hardware (Unknown)
sfan,"Street Fighter (World, pneumatic buttons)",1987,Capcom,Fighting,Arcade Hardware (Unknown)
sfp,Street Fighter (prototype),1987,Capcom,Fighting,Arcade Hardware (Unknown)
tigeroad,Tiger Road (US),1987,Capcom,Action (Multiplayer),Arcade Hardware (Unknown)
topsecrt,"Top Secret (Japan, old revision)",1987,Capcom,Action (Multiplayer),Arcade Hardware (Unknown)
topsecrt2,"Top Secret (Japan, revision B)",1987,Capcom,Action (Multiplayer),Arcade Hardware (Unknown)
toramich,Tora e no Michi (Japan),1987,Capcom,Action (Multiplayer),Arcade Hardware (Unknown)
tigeroadu,"Tiger Road (US, Romstar license)",1987,Capcom (Romstar license),Action (Multiplayer),Arcade Hardware (Unknown)
fz1,FZ-1 Digital Sampling Synthesizer,1987,Casio,Dial/Paddle,Arcade Hardware (Unknown)
fz10m,FZ-10M Digital Sampling Synthesizer Module,1987,Casio,Keyboard/Typing,Arcade Hardware (Unknown)
ht6000,HT-6000,1987,Casio,Keyboard/Typing,Arcade Hardware (Unknown)
mx101,"MX-101 (MSX1, Japan)",1987,Casio,Action (Multiplayer),Arcade Hardware (Unknown)
pb1000,PB-1000,1987,Casio,Keyboard/Typing,Arcade Hardware (Unknown)
sk10,SK-10,1987,Casio,Arcade,Arcade Hardware (Unknown)
sk5,SK-5,1987,Casio,Arcade,Arcade Hardware (Unknown)
sx1010,SX1010,1987,Casio,Arcade,Arcade Hardware (Unknown)
livegal,Live Gal (Japan 870530),1987,Central Denshi,Arcade,Arcade Hardware (Unknown)
ryuuha,Ryuuha (Japan 871027),1987,Central Denshi,Arcade,Arcade Hardware (Unknown)
h01jce,H-01 JCE,1987,China Jiangmen Computer Equipment Factory,Keyboard/Typing,Arcade Hardware (Unknown)
basebal2,Baseball: The Season II,1987,Cinematronics,Sports,Arcade Hardware (Unknown)
redlin2p,Redline Racer (2 players),1987,Cinematronics (Tradewest license),Racing,Arcade Hardware (Unknown)
trailblz,Trail Blazer,1987,Coinmaster,Arcade,Arcade Hardware (Unknown)
a2000n,Amiga 2000 (NTSC),1987,Commodore,Action (Multiplayer),Arcade Hardware (Unknown)
a2000,Amiga 2000 (PAL),1987,Commodore,Action (Multiplayer),Arcade Hardware (Unknown)
a500n,Amiga 500 (NTSC),1987,Commodore,Action (Multiplayer),Arcade Hardware (Unknown)
a500,Amiga 500 (PAL),1987,Commodore,Action (Multiplayer),Arcade Hardware (Unknown)
c128dcr_de,Commodore 128DCR (Germany),1987,Commodore Business Machines,Action,Arcade Hardware (Unknown)
c128dcr,Commodore 128DCR (NTSC),1987,Commodore Business Machines,Action,Arcade Hardware (Unknown)
c128dcrp,Commodore 128DCR (PAL),1987,Commodore Business Machines,Action,Arcade Hardware (Unknown)
c128dcr_se,Commodore 128DCR (Sweden/Finland),1987,Commodore Business Machines,Action,Arcade Hardware (Unknown)
pc10iii,Commodore PC-10 III,1987,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
comportii,Portable II,1987,Compaq,Keyboard/Typing,Arcade Hardware (Unknown)
comportiii,Portable III,1987,Compaq,Keyboard/Typing,Arcade Hardware (Unknown)
daisy,Comus Daisy,1987,Comus Instruments Ltd.,Keyboard/Typing,Arcade Hardware (Unknown)
cpc300e,"IQ-2000 CPC-300E (MSX2, Korea)",1987,Daewoo,Action (Multiplayer),Arcade Hardware (Unknown)
cpc400,"X-II CPC-400 (MSX2, Korea)",1987,Daewoo,Action (Multiplayer),Arcade Hardware (Unknown)
cpc50b,"Zemmix CPC-50B (MSX1, Korea)",1987,Daewoo,Action (Multiplayer),Arcade Hardware (Unknown)
csilverja,"Captain Silver (Japan, revision 1)",1987,Data East Corporation,Action (Multiplayer),Data East Arcade
csilverj,"Captain Silver (Japan, revision 2)",1987,Data East Corporation,Action (Multiplayer),Data East Arcade
csilver,Captain Silver (World),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
garyoret,Garyo Retsuden (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
gondo,Gondomania (World),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
hbarrel,Heavy Barrel (World),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
karnovj,Karnov (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
makyosen,Makyou Senshi (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
meikyuh,Meikyuu Hunter G (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
pcktgal,Pocket Gal (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
oscarj1,Psycho-Nics Oscar (Japan revision 1),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
oscarj2,Psycho-Nics Oscar (Japan revision 2),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
oscar,Psycho-Nics Oscar (World revision 0),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
srdarwinj,SRD: Super Real Darwin (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
srdarwin,SRD: Super Real Darwin (World),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
wndrplnt,Wonder Planet (Japan),1987,Data East Corporation,Action (Multiplayer),Data East Arcade
gondou,Gondomania (US),1987,Data East USA,Action (Multiplayer),Data East Arcade
hbarrelua,"Heavy Barrel (US, revision 1)",1987,Data East USA,Action (Multiplayer),Data East Arcade
hbarrelu,"Heavy Barrel (US, revision 3)",1987,Data East USA,Action (Multiplayer),Data East Arcade
karnova,"Karnov (US, rev 5)",1987,Data East USA,Action (Multiplayer),Data East Arcade
karnov,"Karnov (US, rev 6)",1987,Data East USA,Action (Multiplayer),Data East Arcade
ghostb2a,The Real Ghostbusters (US 2 Players),1987,Data East USA,Action (Multiplayer),Data East Arcade
ghostb,"The Real Ghostbusters (US 2 Players, revision 2)",1987,Data East USA,Action (Multiplayer),Data East Arcade
ghostb3a,"The Real Ghostbusters (US 3 Players, revision 2)",1987,Data East USA,Action (Multiplayer),Data East Arcade
ghostb3,"The Real Ghostbusters (US 3 Players, revision 3B?)",1987,Data East USA,Action (Multiplayer),Data East Arcade
datacast,Datacast Controller (The Stock Exchange),1987,Defence Products,Keyboard/Typing,Arcade Hardware (Unknown)
dgama87,Didaktik Gama 87,1987,Didaktik Skalica,Action,Arcade Hardware (Unknown)
digilog400,400,1987,Digilog,Keyboard/Typing,Arcade Hardware (Unknown)
swinggal,Swing Gal (Japan 871221),1987,Digital Denshi,Arcade,Arcade Hardware (Unknown)
vt320,VT320,1987,Digital Equipment Corporation,Arcade,Arcade Hardware (Unknown)
vt330,VT330,1987,Digital Equipment Corporation,Arcade,Arcade Hardware (Unknown)
hnayayoi,Hana Yayoi (Japan),1987,Dyna Electronics,Arcade,Arcade Hardware (Unknown)
hnfubuki,Hana Fubuki (Japan),1987,Dynax,Arcade,Arcade Hardware (Unknown)
makaijan,Makaijan (Japan),1987,Dynax,Arcade,Arcade Hardware (Unknown)
tontonb,"Tonton (Japan, set 1)",1987,Dynax,Arcade,Arcade Hardware (Unknown)
tontonba,"Tonton (Japan, ver. 1.00)",1987,Dynax,Arcade,Arcade Hardware (Unknown)
untoucha,Untouchable (Ver. 2.10),1987,Dynax,Arcade,Arcade Hardware (Unknown)
emu3,Emulator Three Digital Sound Production System,1987,E-mu Systems,Keyboard/Typing,Arcade Hardware (Unknown)
mag_day,A Day In Space (31/03/87),1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_boob,Booby Kids (Magnet System),1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_drac,Dracula's Castle (Magnet System),1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_exzi,"Exzisus (EX 1.0, Magnet System)",1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
cedmag,Magnet System,1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_pdak,"Paris Dakar (31/03/87, Spanish)",1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_burn,The Burning Cavern (31/03/87),1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_time,"Time Scanner (TS 2.0, Magnet System)",1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_war,War Mission (WM 04/06/87),1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_wara,War Mission (WM 09/04/87),1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
mag_xain,"Xain'd Sleena (SC 3.0, Magnet System)",1987,EFO SA / Cedar,Action (Multiplayer),Arcade Hardware (Unknown)
pecom64,Pecom 64,1987,Ei Nis (Elektronska Industrija Nis),Keyboard/Typing,Arcade Hardware (Unknown)
cip01,CIP-01,1987,Electronica,Action,Arcade Hardware (Unknown)
bk0010fd,BK 0010 FDD,1987,Elektronika,Keyboard/Typing,Arcade Hardware (Unknown)
bk001001,BK 0010.01,1987,Elektronika,Keyboard/Typing,Arcade Hardware (Unknown)
uknc,UKNC / MS-0511,1987,Elektronika,Arcade,Arcade Hardware (Unknown)
findout,"Find Out (Version 4.04, set 1)",1987,Elettronolo,Arcade,Arcade Hardware (Unknown)
amspdwy,American Speedway (set 1),1987,Enerdyne Technologies Inc.,Dial/Paddle,Arcade Hardware (Unknown)
amspdwya,American Speedway (set 2),1987,Enerdyne Technologies Inc.,Dial/Paddle,Arcade Hardware (Unknown)
pc286u,PC-286U,1987,Epson,Action (Multiplayer),Arcade Hardware (Unknown)
keirinou,Keirin Ou,1987,Excellent System,Arcade,Arcade Hardware (Unknown)
hitnmiss2,Hit 'n Miss (version 2.0),1987,Exidy,Lightgun Shooter,Arcade Hardware (Unknown)
hitnmiss,Hit 'n Miss (version 3.0),1987,Exidy,Lightgun Shooter,Arcade Hardware (Unknown)
falco5220e,Falco 5220e,1987,Falco Data Products,Keyboard/Typing,Arcade Hardware (Unknown)
fex68k,Excel 68000 (set 1),1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
fex68ka,Excel 68000 (set 2),1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
fex68kb,Excel 68000 (set 3),1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
fexceld,Excel Display,1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
gambitv,Gambit Voice,1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
fexcel,The Excellence (model 6080B),1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
fexcelv,Voice Excellence,1987,Fidelity International,Keyboard/Typing,Arcade Hardware (Unknown)
miniforce,miniFORCE,1987,Force Computers,Keyboard/Typing,Arcade Hardware (Unknown)
bruc100,"Bruc 100-1 (MSX1, Italy)",1987,Frael,Action (Multiplayer),Arcade Hardware (Unknown)
mpc800,MasterPieCe 800 Series,1987,G2 Systems,Keyboard/Typing,Arcade Hardware (Unknown)
mastboyom,"Master Boy (1987, Modular System)",1987,Gaelco,Arcade,Arcade Hardware (Unknown)
mastboyod,"Master Boy (1987, Z80 hardware)",1987,Gaelco,Arcade,Arcade Hardware (Unknown)
mastboyo,"Master Boy (1987, Z80 hardware, Covielsa, set 1)",1987,Gaelco (Covielsa license),Arcade,Arcade Hardware (Unknown)
mastboyoa,"Master Boy (1987, Z80 hardware, Covielsa, set 2)",1987,Gaelco (Covielsa license),Arcade,Arcade Hardware (Unknown)
mastboyob,"Master Boy (1987, Z80 hardware, Ichi-Funtel, set 1)",1987,Gaelco (Ichi-Funtel license),Arcade,Arcade Hardware (Unknown)
mastboyoc,"Master Boy (1987, Z80 hardware, Ichi-Funtel, set 2)",1987,Gaelco (Ichi-Funtel license),Arcade,Arcade Hardware (Unknown)
bigjoke,The Big Joke (Version 0.00),1987,Grayhound Electronics,Arcade,Arcade Hardware (Unknown)
lottofun,Lotto Fun,1987,HAR Management,Action,Midway/Williams
ht68k,TinyGiant HT68k,1987,Hawthorne Technology,Keyboard/Typing,Arcade Hardware (Unknown)
mm4b,Mephisto MM IV (v6.00),1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
mm4a,Mephisto MM IV (v7.00),1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
mm4,Mephisto MM IV (v7.10),1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
mondial2,Mephisto Mondial II,1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
monteca,Mephisto Monte Carlo (ver. MC2),1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
montec,Mephisto Monte Carlo (ver. MC3),1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
roma16,Mephisto Roma 68000,1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
roma16g,Mephisto Roma 68000 (Glasgow hardware),1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
roma32,Mephisto Roma 68020,1987,Hegener + Glaser,Keyboard/Typing,Arcade Hardware (Unknown)
hp700_92,HP 700/92 Display Terminal,1987,Hewlett-Packard,Arcade,Arcade Hardware (Unknown)
hp9k330,HP9000/330,1987,Hewlett-Packard,Keyboard/Typing,Arcade Hardware (Unknown)
hp9k332,HP9000/332,1987,Hewlett-Packard,Keyboard/Typing,Arcade Hardware (Unknown)
theboat,The Boat,1987,"Hit Gun Co, LTD",Arcade,Arcade Hardware (Unknown)
hawk,Husky Hawk,1987,Husky Computers Ltd,Arcade,Arcade Hardware (Unknown)
hyu16te,Super 16 TE,1987,Hyundai,Keyboard/Typing,Arcade Hardware (Unknown)
pcramclr,Player's Choice RAM Clear,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepk0757,Player's Edge (PK0757-PC074) Two Pair or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepk0785,Player's Edge (PK0785-PC041) Tens or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepk0788,Player's Edge (PK0788-PC041) Tens or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepk1013,Player's Edge (PK1013-PC087) Tens or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peivc006,Player's Edge Plus (IVC006) Clear EEPROM Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0023,Player's Edge Plus (PP0023) 10's or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0042,Player's Edge Plus (PP0042) 10's or Better (set 1),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0042a,Player's Edge Plus (PP0042) 10's or Better (set 2),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0042b,Player's Edge Plus (PP0042) 10's or Better (set 3),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0043,Player's Edge Plus (PP0043) 10's or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0043a,"Player's Edge Plus (PP0043) 10's or Better (International, set 1)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0043b,"Player's Edge Plus (PP0043) 10's or Better (International, set 2)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0045,Player's Edge Plus (PP0045) 10's or Better (set 1),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0045a,"Player's Edge Plus (PP0045) 10's or Better (set 2, Gambler Downtown Reno)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0045c,"Player's Edge Plus (PP0045) 10's or Better (set 4, Annie Oakley's Central City)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0045d,"Player's Edge Plus (PP0045) 10's or Better (set 5, Las Vegas Rio)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0045e,"Player's Edge Plus (PP0045) 10's or Better (set 6, Circus Circus)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0045g,"Player's Edge Plus (PP0045) 10's or Better (set 8, Harrah's)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0046a,"Player's Edge Plus (PP0046) 10's or Better (International, set 1)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0046b,"Player's Edge Plus (PP0046) 10's or Better (International, set 2)",1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0046,Player's Edge Plus (PP0046) 10's or Better (set 1),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0046c,Player's Edge Plus (PP0046) 10's or Better (set 2),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0059,Player's Edge Plus (PP0059) Two Pair or Better (set 1),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0059a,Player's Edge Plus (PP0059) Two Pair or Better (set 2),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0063,Player's Edge Plus (PP0063) 10's or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0083,Player's Edge Plus (PP0083) 10's or Better (set 1),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0083a,Player's Edge Plus (PP0083) 10's or Better (set 2),1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
pepp0562,Player's Edge Plus (PP0562) 10's or Better,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset001,Player's Edge Plus (SET001) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset004,Player's Edge Plus (SET004) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset012,Player's Edge Plus (SET012) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset022,Player's Edge Plus (SET022) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset033,Player's Edge Plus (SET033) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset038,Player's Edge Plus (SET038) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset100,Player's Edge Plus (SET100) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
peset117,Player's Edge Plus (SET117) Set Chip,1987,IGT - International Game Technology,Arcade,Arcade Hardware (Unknown)
ms1600,Micro-SEP 1600,1987,ILCE / SEP,Action (Multiplayer),Arcade Hardware (Unknown)
msm3,Micro-Sep Model 3,1987,ILCE / SEP,Lightgun Shooter,Arcade Hardware (Unknown)
videocba,Video Cordoba,1987,InterFlip,Arcade,Arcade Hardware (Unknown)
videodad,Video Dado,1987,InterFlip,Arcade,Arcade Hardware (Unknown)
bchopper,Battle Chopper (World),1987,Irem,Action (Multiplayer),Irem Arcade
bkungfu,Beyond Kung-Fu (location test),1987,Irem,Action (Multiplayer),Irem Arcade
mrheli,Mr. HELI no Daibouken (Japan),1987,Irem,Action (Multiplayer),Irem Arcade
rtypejp,R-Type (Japan prototype),1987,Irem,Action (Multiplayer),Irem Arcade
rtypej,R-Type (Japan),1987,Irem,Action (Multiplayer),Irem Arcade
rtype,R-Type (World),1987,Irem,Action (Multiplayer),Irem Arcade
rtypeu,R-Type (US),1987,Irem (Nintendo of America license),Action (Multiplayer),Irem Arcade
partner1fg,Partner 1F/G,1987,Iskra Delta,Keyboard/Typing,Arcade Hardware (Unknown)
partnerwfg,Partner WF/G,1987,Iskra Delta,Keyboard/Typing,Arcade Hardware (Unknown)
exerizer,Exerizer (Japan),1987,Jaleco,Action,Arcade Hardware (Unknown)
ginganin,Ginga Ninkyouden (set 1),1987,Jaleco,Action (Multiplayer),Arcade Hardware (Unknown)
ginganina,Ginga Ninkyouden (set 2),1987,Jaleco,Action (Multiplayer),Arcade Hardware (Unknown)
skyfox,Sky Fox,1987,Jaleco (Nichibutsu USA license),Action,Arcade Hardware (Unknown)
psychic5j,Psychic 5 (Japan),1987,Jaleco / NMK,Action (Multiplayer),Arcade Hardware (Unknown)
psychic5,Psychic 5 (World),1987,Jaleco / NMK,Action (Multiplayer),Arcade Hardware (Unknown)
jtc,CompJU+TEr,1987,Jugend+Technik,Keyboard/Typing,Arcade Hardware (Unknown)
sqixr0,"Super Qix (World/Japan, V1.0)",1987,Kaneko / Taito,Action (Multiplayer),Taito Arcade
sqixr1,"Super Qix (World/Japan, V1.1)",1987,Kaneko / Taito,Action (Multiplayer),Taito Arcade
sqix,"Super Qix (World/Japan, V1.2)",1987,Kaneko / Taito,Action (Multiplayer),Taito Arcade
hotsmash,Vs. Hot Smash,1987,Kaneko / Taito,Fighting,Taito Arcade
sqixu,Super Qix (US),1987,Kaneko / Taito (Romstar License),Action (Multiplayer),Taito Arcade
drtoppelu,Dr. Toppel's Adventure (US),1987,Kaneko / Taito America Corporation,Action (Multiplayer),Taito Arcade
drtoppelj,Dr. Toppel's Tankentai (Japan),1987,Kaneko / Taito Corporation,Action (Multiplayer),Taito Arcade
drtoppel,Dr. Toppel's Adventure (World),1987,Kaneko / Taito Corporation Japan,Action (Multiplayer),Taito Arcade
kmc5000,"KMC-5000 (MSX2, Japan)",1987,Kawai,Action (Multiplayer),Arcade Hardware (Unknown)
k5,K5 Digital Multi-Dimensional Synthesizer,1987,Kawai Musical Instrument Manufacturing,Arcade,Arcade Hardware (Unknown)
k5m,K5m Digital Multi-Dimensional Synthesizer Module,1987,Kawai Musical Instrument Manufacturing,Arcade,Arcade Hardware (Unknown)
r100,R-100 Digital Drum Machine,1987,Kawai Musical Instrument Manufacturing,Arcade,Arcade Hardware (Unknown)
ajax,Ajax,1987,Konami,Action (Multiplayer),Konami Arcade
ajaxj,Ajax (Japan),1987,Konami,Action (Multiplayer),Konami Arcade
battlntsj,"Battlantis (Japan, version E)",1987,Konami,Action (Multiplayer),Konami Arcade
battlntsa,Battlantis (version F),1987,Konami,Action (Multiplayer),Konami Arcade
battlnts,Battlantis (version G),1987,Konami,Action (Multiplayer),Konami Arcade
blkpnthr,Black Panther,1987,Konami,Action (Multiplayer),Konami Arcade
bladestle,"Blades of Steel (version E, Trackball)",1987,Konami,Trackball,Konami Arcade
bladestll,"Blades of Steel (version L, Trackball)",1987,Konami,Trackball,Konami Arcade
bladestl,"Blades of Steel (version T, Joystick)",1987,Konami,Action (Multiplayer),Konami Arcade
bootcamp,Boot Camp (set 1),1987,Konami,Trackball,Konami Arcade
bootcampa,Boot Camp (set 2),1987,Konami,Trackball,Konami Arcade
citybombj,City Bomber (Japan),1987,Konami,Dial/Paddle,Konami Arcade
citybomb,City Bomber (World),1987,Konami,Dial/Paddle,Konami Arcade
combatscj,Combat School (Japan trackball),1987,Konami,Trackball,Konami Arcade
combatsct,Combat School (trackball),1987,Konami,Trackball,Konami Arcade
contraj,"Contra (Japan, set 1)",1987,Konami,Action (Multiplayer),Konami Arcade
contraj1,"Contra (Japan, set 2)",1987,Konami,Action (Multiplayer),Konami Arcade
contra,"Contra (US / Asia, set 1)",1987,Konami,Action (Multiplayer),Konami Arcade
contra1,"Contra (US / Asia, set 2)",1987,Konami,Action (Multiplayer),Konami Arcade
contrae,"Contra (US / Asia, set 3)",1987,Konami,Action (Multiplayer),Konami Arcade
darkadv,Dark Adventure,1987,Konami,Action (Multiplayer),Konami Arcade
devilw,Devil World,1987,Konami,Action (Multiplayer),Konami Arcade
fastlane,Fast Lane,1987,Konami,Action (Multiplayer),Konami Arcade
flkatck,Flak Attack (Japan),1987,Konami,Action (Multiplayer),Konami Arcade
flkatcka,"Flak Attack (Japan, PWB 450593 sub-board)",1987,Konami,Action (Multiplayer),Konami Arcade
gryzor,Gryzor (set 1),1987,Konami,Action (Multiplayer),Konami Arcade
gryzor1,Gryzor (set 2),1987,Konami,Action (Multiplayer),Konami Arcade
hcrashc,Hyper Crash (version C),1987,Konami,Dial/Paddle,Konami Arcade
hcrash,Hyper Crash (version D),1987,Konami,Dial/Paddle,Konami Arcade
labyrunr,Labyrinth Runner (Japan),1987,Konami,Action (Multiplayer),Konami Arcade
labyrunrf,Labyrinth Runner (World Ver. F),1987,Konami,Action (Multiplayer),Konami Arcade
labyrunrk,Labyrinth Runner (World Ver. K),1987,Konami,Action (Multiplayer),Konami Arcade
lifefrcej,Lifeforce (Japan),1987,Konami,Action (Multiplayer),Konami Arcade
mx5000,MX5000,1987,Konami,Action (Multiplayer),Konami Arcade
majuu,Majuu no Ohkoku (Japan),1987,Konami,Action (Multiplayer),Konami Arcade
rackemup,Rack 'em Up (version L),1987,Konami,Action (Multiplayer),Konami Arcade
thehustlj,"The Hustler (Japan, version J)",1987,Konami,Action (Multiplayer),Konami Arcade
thehustl,"The Hustler (Japan, version M)",1987,Konami,Action (Multiplayer),Konami Arcade
tricktrp,Trick Trap (World?),1987,Konami,Action (Multiplayer),Konami Arcade
typhoon,Typhoon,1987,Konami,Action (Multiplayer),Konami Arcade
cstlevna,Vs. Castlevania,1987,Konami,Fighting,Arcade Hardware (Unknown)
topgun,Vs. Top Gun,1987,Konami,Fighting,Arcade Hardware (Unknown)
pc_cvnia,Castlevania (PlayChoice-10),1987,Konami (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
pc_dbldr,Double Dribble (PlayChoice-10),1987,Konami (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
pc_rnatk,Rush'n Attack (PlayChoice-10),1987,Konami (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
pc_tkfld,Track & Field (PlayChoice-10),1987,Konami (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
korg707,707 Performing Synthesizer,1987,Korg,Arcade,Arcade Hardware (Unknown)
dssmsrk,DSS-1 Digital Sampling Synthesizer (Memory/SCSI Retrofit),1987,Korg / Sound Logic,Arcade,Arcade Hardware (Unknown)
airwolf,Airwolf,1987,Kyugo,Action (Multiplayer),Arcade Hardware (Unknown)
airwolfa,Airwolf (US),1987,Kyugo (United Amusements license),Action (Multiplayer),Arcade Hardware (Unknown)
videoart,VideoArt,1987,LJN Toys,Action (Multiplayer),Arcade Hardware (Unknown)
quarterbc,"Quarterback (rev 1, cocktail)",1987,Leland Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
quarterba,Quarterback (rev 2),1987,Leland Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
quarterb,Quarterback (rev 5),1987,Leland Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
dblplay,Super Baseball Double Play Home Run Derby,1987,Leland Corporation / Tradewest,Sports,Arcade Hardware (Unknown)
mikrosha,Mikrosha,1987,Lianozovo Electromechanical Factory,Keyboard/Typing,Arcade Hardware (Unknown)
op5cards,Open 5 Cards,1987,MNG,Arcade,Arcade Hardware (Unknown)
kramermc,Kramer MC,1987,Manfred Kramer,Keyboard/Typing,Arcade Hardware (Unknown)
7951om,7951om,1987,Mera-Elzab,Arcade,Arcade Hardware (Unknown)
americnaa,Americana (9131-00),1987,Merit,Arcade,Arcade Hardware (Unknown)
americna,Americana (9131-01),1987,Merit,Arcade,Arcade Hardware (Unknown)
riviera,"Riviera Hi-Score (2131-08, U5-4A)",1987,Merit,Arcade,Arcade Hardware (Unknown)
dbridgec,Diamond Bridge Computer,1987,Micro-Concepts,Keyboard/Typing,Arcade Hardware (Unknown)
mbee256,Microbee 256TC,1987,Microbee Systems,Keyboard/Typing,Arcade Hardware (Unknown)
mice2_6502,MICE-II 6502 (Rev-F),1987,Microtek,Keyboard/Typing,Arcade Hardware (Unknown)
