rom,game,year,company,genre,platform
memoquiz,Memoquiz,1978,M.E.M. Belgium,Keyboard/Typing,Arcade Hardware (Unknown)
mbaseb,Baseball (Mattel),1978,Mattel Electronics,Sports,Arcade Hardware (Unknown)
mbaskb,Basketball (Mattel),1978,Mattel Electronics,Sports,Arcade Hardware (Unknown)
mfootb2,Football 2 (Mattel),1978,Mattel Electronics,Sports,Arcade Hardware (Unknown)
mhockey,"Hockey (Mattel, US version)",1978,Mattel Electronics,Sports,Arcade Hardware (Unknown)
mhockeya,"Hockey (Mattel, export version)",1978,Mattel Electronics,Sports,Arcade Hardware (Unknown)
msoccer,Soccer (Mattel),1978,Mattel Electronics,Sports,Arcade Hardware (Unknown)
bowl3d,3-D Bowling,1978,"Meadows Games, Inc.",Action (Multiplayer),Arcade Hardware (Unknown)
deadeye,Dead Eye,1978,"Meadows Games, Inc.",Action,Arcade Hardware (Unknown)
gypsyjug,Gypsy Juggler,1978,"Meadows Games, Inc.",Action,Arcade Hardware (Unknown)
minferno,Inferno (Meadows),1978,"Meadows Games, Inc.",Action (Multiplayer),Arcade Hardware (Unknown)
blueshrk,Blue Shark (Midway),1978,Midway,Dial/Paddle,Arcade Hardware (Unknown)
bowler,Bowling Alley,1978,Midway,Trackball,Arcade Hardware (Unknown)
clowns1,Clowns (rev. 1),1978,Midway,Dial/Paddle,Arcade Hardware (Unknown)
clowns,Clowns (rev. 2),1978,Midway,Dial/Paddle,Arcade Hardware (Unknown)
shuffle,Shuffleboard,1978,Midway,Trackball,Arcade Hardware (Unknown)
spacwalk,Space Walk,1978,Midway,Dial/Paddle,Arcade Hardware (Unknown)
einning,Extra Inning / Ball Park II,1978,Midway / Taito,Action (Multiplayer),Arcade Hardware (Unknown)
bshipb,"Electronic Battleship (TMS1000 version, rev. B)",1978,Milton Bradley,Keyboard/Typing,Arcade Hardware (Unknown)
simon,Simon (rev. A),1978,Milton Bradley,Arcade,Arcade Hardware (Unknown)
super21,Super Twenty One,1978,Mirco Games,Arcade,Arcade Hardware (Unknown)
claybust,Claybuster,1978,Model Racing,Lightgun Shooter,Arcade Hardware (Unknown)
srdchamp,Super Road Champions,1978,Model Racing,Arcade,Taito Arcade
aid80f,AID-80F Development System,1978,Mostek,Arcade,Arcade Hardware (Unknown)
mekd3,MEK6802D3,1978,Motorola,Keyboard/Typing,Arcade Hardware (Unknown)
mtc9016,9016 Telespiel Computer (Germany),1978,Mustang,Keyboard/Typing,Arcade Hardware (Unknown)
geebee,Gee Bee (Japan),1978,Namco,Dial/Paddle,Namco Arcade Hardware
geebeea,Gee Bee (UK),1978,Namco (Alca license),Dial/Paddle,Namco Arcade Hardware
geebeeb,Gee Bee (Europe),1978,Namco (F.lli Bertolino license),Dial/Paddle,Namco Arcade Hardware
geebeeg,Gee Bee (US),1978,Namco (Gremlin license),Dial/Paddle,Namco Arcade Hardware
nascom1,Nascom 1,1978,Nascom Microcomputers,Keyboard/Typing,Arcade Hardware (Unknown)
qkspeller,QuizKid Speller,1978,National Semiconductor,Keyboard/Typing,Arcade Hardware (Unknown)
elf2,Elf II,1978,Netronics,Keyboard/Typing,Arcade Hardware (Unknown)
blockfvr,Block Fever,1978,Nintendo,Puzzle,Arcade Hardware (Unknown)
cothello,Computer Othello,1978,Nintendo,Action (Multiplayer),Arcade Hardware (Unknown)
sb2m600b,Superboard II Model 600 (Rev. B),1978,Ohio Scientific,Keyboard/Typing,Arcade Hardware (Unknown)
pbmastm,Electronic Master Mind (Parker Brothers),1978,Parker Brothers,Keyboard/Typing,Arcade Hardware (Unknown)
merlin,Merlin: The Electronic Wizard,1978,Parker Brothers,Keyboard/Typing,Arcade Hardware (Unknown)
videopac,Videopac G7000 (Europe),1978,Philips,Action (Multiplayer),Arcade Hardware (Unknown)
alphie,Alphie: The Electronic Robot (patent),1978,Playskool,Arcade,Arcade Hardware (Unknown)
gametree,Game Tree,1978,Project Support Engineering,Arcade,Arcade Hardware (Unknown)
proteus3,Proteus III,1978,Proteus International,Keyboard/Typing,Arcade Hardware (Unknown)
teleray10,Teleray Model 10,1978,Research Inc.,Keyboard/Typing,Arcade Hardware (Unknown)
rm380z34d,"RM-380Z, COS 3.4D/F",1978,Research Machines,Keyboard/Typing,Arcade Hardware (Unknown)
rm380z34e,"RM-380Z, COS 3.4E/M",1978,Research Machines,Keyboard/Typing,Arcade Hardware (Unknown)
rm380zf,"RM-380Z, COS 4.0B/F",1978,Research Machines,Keyboard/Typing,Arcade Hardware (Unknown)
rm380zfhrg,"RM-380Z, COS 4.0B/F with HRG",1978,Research Machines,Keyboard/Typing,Arcade Hardware (Unknown)
rm380z,"RM-380Z, COS 4.0B/M",1978,Research Machines,Keyboard/Typing,Arcade Hardware (Unknown)
rm380zhrg,"RM-380Z, COS 4.0B/M with HRG",1978,Research Machines,Keyboard/Typing,Arcade Hardware (Unknown)
k1003,K1003,1978,Robotron,Keyboard/Typing,Arcade Hardware (Unknown)
sabavpl2,SABA Videoplay 2,1978,SABA,Action (Multiplayer),Arcade Hardware (Unknown)
micon2,Micon-Kit Part II,1978,SNK,Dial/Paddle,Arcade Hardware (Unknown)
smiconk,Space Micon Kit,1978,SNK,Dial/Paddle,Arcade Hardware (Unknown)
mk14vdu,MK-14 VDU,1978,Science of Cambridge,Keyboard/Typing,Arcade Hardware (Unknown)
scrabsen,Scrabble Sensor: Electronic Word Game,1978,Selchow & Righter,Keyboard/Typing,Arcade Hardware (Unknown)
shmc1200,M1200 Micro Computer (Australia),1978,Sheen,Keyboard/Typing,Arcade Hardware (Unknown)
instruct,Signetics Instructor 50,1978,Signetics,Keyboard/Typing,Arcade Hardware (Unknown)
mpt02,Victory MPT-02 Home TV Programmer (Austria),1978,Soundic,Keyboard/Typing,Arcade Hardware (Unknown)
blockch,G.T. Block Challenger,1978,Sun Electronics / Gifu Tokki,Puzzle,Arcade Hardware (Unknown)
sym1,SYM-1/SY-VIM-1,1978,Synertek Systems Corp.,Keyboard/Typing,Arcade Hardware (Unknown)
sisv1,Space Invaders (SV Version rev 1),1978,Taito,Action (Multiplayer),Arcade Hardware (Unknown)
sisv2,Space Invaders (SV Version rev 2),1978,Taito,Action (Multiplayer),Arcade Hardware (Unknown)
sisv3,Space Invaders (SV Version rev 3),1978,Taito,Action (Multiplayer),Arcade Hardware (Unknown)
sisv,Space Invaders (SV Version rev 4),1978,Taito,Action (Multiplayer),Arcade Hardware (Unknown)
sitv1,Space Invaders (TV Version rev 1),1978,Taito,Action (Multiplayer),Arcade Hardware (Unknown)
sitv,Space Invaders (TV Version rev 2),1978,Taito,Action (Multiplayer),Arcade Hardware (Unknown)
ttsracec,T.T. Speed Race CL,1978,Taito,Racing,Taito Arcade
spceking,Space King,1978,Taito / Leijac Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
invaderl,Space Invaders (Logitec),1978,Taito / Logitec,Action (Multiplayer),Arcade Hardware (Unknown)
invaders,Space Invaders / Space Invaders M,1978,Taito / Midway,Action (Multiplayer),Arcade Hardware (Unknown)
invadrmr,Space Invaders (Model Racing),1978,Taito / Model Racing,Racing,Arcade Hardware (Unknown)
spcewars,Space War (Sanritsu),1978,Taito / Sanritsu,Action (Multiplayer),Arcade Hardware (Unknown)
trs80l2,TRS-80 Model I (Level II Basic),1978,Tandy Radio Shack,Keyboard/Typing,Arcade Hardware (Unknown)
tek4052a,Tektronix 4052A,1978,Tektronix,Keyboard/Typing,Arcade Hardware (Unknown)
tv912b,TVI-912B,1978,TeleVideo Systems,Keyboard/Typing,Arcade Hardware (Unknown)
tv912c,TVI-912C,1978,TeleVideo Systems,Keyboard/Typing,Arcade Hardware (Unknown)
lilprof,Little Professor (1978 version),1978,Texas Instruments,Keyboard/Typing,Arcade Hardware (Unknown)
snspelluk,"Speak & Spell (UK, 1978 version)",1978,Texas Instruments,Keyboard/Typing,Arcade Hardware (Unknown)
snspellua,"Speak & Spell (US, 1978 version)",1978,Texas Instruments,Keyboard/Typing,Arcade Hardware (Unknown)
snspellp,"Speak & Spell (US, patent)",1978,Texas Instruments,Keyboard/Typing,Arcade Hardware (Unknown)
spellba,"Spelling B (US, 1978 version)",1978,Texas Instruments,Keyboard/Typing,Arcade Hardware (Unknown)
990189,TM 990/189 University Board microcomputer,1978,Texas Instruments,Action (Multiplayer),Arcade Hardware (Unknown)
visicom,Visicom COM-100 (Japan),1978,Toshiba,Keyboard/Typing,Arcade Hardware (Unknown)
triton41,Triton L4.1,1978,Transam,Keyboard/Typing,Arcade Hardware (Unknown)
gammonm2,Gammonmaster II,1978,Tryom,Keyboard/Typing,Arcade Hardware (Unknown)
gamemach,The Game Machine,1978,VTech / Waddingtons,Keyboard/Typing,Arcade Hardware (Unknown)
vidbrain,VideoBrain FamilyComputer,1978,VideoBrain Computer Company,Action (Multiplayer),Arcade Hardware (Unknown)
hc110,HandiVoice HC-110,1978,Votrax/Phonic Mirror,Arcade,Arcade Hardware (Unknown)
hc120,HandiVoice HC-120,1978,Votrax/Phonic Mirror,Keyboard/Typing,Arcade Hardware (Unknown)
notetakr,NoteTaker,1978,Xerox,Arcade,Arcade Hardware (Unknown)
sstrangr,Space Stranger,1978,Yachiyo Electric,Action (Multiplayer),Arcade Hardware (Unknown)
cosmicin,Cosmic Invaders (bootleg of Space Invaders),1978,bootleg,Action (Multiplayer),Arcade Hardware (Unknown)
darthvdr,Darth Vader (bootleg of Space Invaders),1978,bootleg,Action (Multiplayer),Arcade Hardware (Unknown)
spcebttl,Space Battle (Space Invaders bootleg),1978,bootleg,Action (Multiplayer),Arcade Hardware (Unknown)
spacewr3,Space War Part 3,1978,bootleg,Action (Multiplayer),Arcade Hardware (Unknown)
superinv,Super Invaders (bootleg set 1),1978,bootleg,Action (Multiplayer),Arcade Hardware (Unknown)
swipeout,Space Wipeout,1978,bootleg (Beyer and Brown),Action (Multiplayer),Arcade Hardware (Unknown)
sinvemag,Super Invaders (Emag bootleg set 1),1978,bootleg (Emag),Action (Multiplayer),Arcade Hardware (Unknown)
sinvemag2,Super Invaders (Emag bootleg set 2),1978,bootleg (Emag),Action (Multiplayer),Arcade Hardware (Unknown)
galmonst,Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders),1978,bootleg (Laguna S.A.),Shooter,Arcade Hardware (Unknown)
spacerng,Space Ranger,1978,bootleg (Leisure Time Electronics),Action (Multiplayer),Arcade Hardware (Unknown)
blueshrkmr,"Blue Shark (Model Racing bootleg, set 1)",1978,bootleg (Model Racing),Racing,Arcade Hardware (Unknown)
blueshrkmr2,"Blue Shark (Model Racing bootleg, set 2)",1978,bootleg (Model Racing),Racing,Arcade Hardware (Unknown)
invadernc,Space Invaders (Nas Corp bootleg),1978,bootleg (Nas Corp),Action (Multiplayer),Arcade Hardware (Unknown)
ccmk1,Chess Champion: MK I,1978,bootleg (Novag Industries),Keyboard/Typing,Arcade Hardware (Unknown)
spaceatt,Space Attack (bootleg of Space Invaders),1978,bootleg (Video Games GmbH),Action (Multiplayer),Arcade Hardware (Unknown)
spaceatt2k,"Space Attack (bootleg of Space Invaders, 2k roms)",1978,bootleg (Video Games GmbH),Action (Multiplayer),Arcade Hardware (Unknown)
spaceattbp,"Space Attack (bootleg of Space Invaders, bproms)",1978,bootleg (Video Games GmbH),Action (Multiplayer),Arcade Hardware (Unknown)
tvgm8080,TV Game 8080,1978,bootleg?,Dial/Paddle,Arcade Hardware (Unknown)
cascade,Cascade,1978,bootleg? (Sidam),Dial/Paddle,Atari Arcade
matchnum,Match Number,1979,A-One LSI,Keyboard/Typing,Arcade Hardware (Unknown)
apfimag,APF Imagination Machine,1979,APF Electronics Inc.,Action (Multiplayer),Arcade Hardware (Unknown)
mpu1000,MPU-1000,1979,Acetronic,Action (Multiplayer),Arcade Hardware (Unknown)
mpu2000,MPU-2000,1979,Acetronic,Action (Multiplayer),Arcade Hardware (Unknown)
acrnsys1,Acorn System 1,1979,Acorn Computers,Keyboard/Typing,Arcade Hardware (Unknown)
atom,Atom,1979,Acorn Computers,Keyboard/Typing,Arcade Hardware (Unknown)
clayshoo,Clay Shoot,1979,Allied Leisure,Shooter,Arcade Hardware (Unknown)
apple2p,Apple ][+,1979,Apple Computer,Keyboard/Typing,Arcade Hardware (Unknown)
borisdpl,Boris Diplomat,1979,Applied Concepts,Keyboard/Typing,Arcade Hardware (Unknown)
asteroid1,Asteroids (rev 1),1979,Atari,Arcade,Atari Arcade
asteroid2,Asteroids (rev 2),1979,Atari,Arcade,Atari Arcade
